symbol,ex_date,factor
510300.SH,2025-04-14,0.9451663201663202
510300.SH,2025-04-15,0.9452090366138666
510300.SH,2025-04-16,0.9453367875647669
510300.SH,2025-04-17,0.9453792389334714
510300.SH,2025-04-18,0.9455202685256906
510300.SH,2025-04-21,0.9455483870967742
510300.SH,2025-04-22,0.9455905105724599
510300.SH,2025-04-23,0.9456465739309633
510300.SH,2025-04-24,0.9456465739309633
510300.SH,2025-04-25,0.9456465739309633
510300.SH,2025-04-28,0.945562435500516
510300.SH,2025-04-29,0.9454639441716205
510300.SH,2025-04-30,0.945421624418003
510300.SH,2025-05-06,0.9459390212656931
510300.SH,2025-05-07,0.9462694168576522
510300.SH,2025-05-08,0.9465822784810126
510300.SH,2025-05-09,0.9465145754119139
510300.SH,2025-05-12,0.9471177944862155
510300.SH,2025-05-13,0.9471707561342012
510300.SH,2025-05-14,0.9478368355995056
510300.SH,2025-05-15,0.9473946646721515
510300.SH,2025-05-16,0.9471045374780647
510300.SH,2025-05-19,0.9470248556364549
510300.SH,2025-05-20,0.9472895328503621
510300.SH,2025-05-21,0.9474993779547151
510300.SH,2025-05-22,0.9474732387353746
510300.SH,2025-05-23,0.9470912738214644
510300.SH,2025-05-26,0.9468111923367784
510300.SH,2025-05-27,0.9465281297516471
510300.SH,2025-05-28,0.9464738711314054
510300.SH,2025-05-29,0.9467977811396873
510300.SH,2025-05-30,0.9467037130588533
510300.SH,2025-06-03,0.9466767753348496
510300.SH,2025-06-04,0.9469048817312531
510300.SH,2025-06-05,0.9470381526104418
510300.SH,2025-06-06,0.9470647265429001
510300.SH,2025-06-09,0.9471839799749686
510300.SH,2025-06-10,0.9468781470292045
510300.SH,2025-06-11,0.9473026973026974
510300.SH,2025-06-12,0.9473290064902645
510300.SH,2025-06-13,0.9469849246231156
510300.SH,2025-06-16,0.9471177944862155
510300.SH,2025-06-17,0.9471045374780647
510300.SH,2025-06-18,0.9684938524590164
510300.SH,2025-06-19,0.9682416731216111
510300.SH,2025-06-20,0.9682826199071686
510300.SH,2025-06-23,0.9683885890516576
510300.SH,2025-06-24,0.9687500000000001
510300.SH,2025-06-25,0.9692576855786053
510300.SH,2025-06-26,0.969141996989463
510300.SH,2025-06-27,0.9689629068887207
510300.SH,2025-06-30,0.9691109994977398
510300.SH,2025-07-01,0.9691574724172518
510300.SH,2025-07-02,0.9691883767535071
510300.SH,2025-07-03,0.9693648816936489
510300.SH,2025-07-04,0.9694940476190476
510300.SH,2025-07-07,0.9693572496263079
510300.SH,2025-07-08,0.9696146245059288
510300.SH,2025-07-09,0.9695920889987639
510300.SH,2025-07-10,0.9697416974169741
510300.SH,2025-07-11,0.9698455503799952
510300.SH,2025-07-14,0.9698381559588033
510300.SH,2025-07-15,0.9698381559588033
510300.SH,2025-07-16,0.9697714426148931
510300.SH,2025-07-17,0.970014627011214
510300.SH,2025-07-18,0.9702323330106487
510300.SH,2025-07-21,0.9704113543420736
510300.SH,2025-07-22,0.9707212568436088
510300.SH,2025-07-23,0.9707073112645868
510300.SH,2025-07-24,0.9708875739644972
510300.SH,2025-07-25,0.9707351891506066
510300.SH,2025-07-28,0.9708115804461319
510300.SH,2025-07-29,0.9709563164108618
510300.SH,2025-07-30,0.9709357277882797
510300.SH,2025-07-31,0.9703971119133573
510300.SH,2025-08-01,0.970239535446407
510300.SH,2025-08-04,0.9703757225433526
510300.SH,2025-08-05,0.970595266555104
510300.SH,2025-08-06,0.9706723891273247
510300.SH,2025-08-07,0.9706653947054616
510300.SH,2025-08-08,0.970595266555104
510300.SH,2025-08-11,0.9707282246549261
510300.SH,2025-08-12,0.9709082308420058
510300.SH,2025-08-13,0.9711470795214637
510300.SH,2025-08-14,0.9710996240601504
510300.SH,2025-08-15,0.9713620488940629
510300.SH,2025-08-18,0.9715738386873122
510300.SH,2025-08-19,0.9714285714285715
510300.SH,2025-08-20,0.971814848762603
510300.SH,2025-08-21,0.9719049794426678
510300.SH,2025-08-22,0.9725385130609511
510300.SH,2025-08-25,0.9730558598028477
510300.SH,2025-08-26,0.9729134551860823
510300.SH,2025-08-27,0.9725139664804471
510300.SH,2025-08-28,0.9730203992103531
510300.SH,2025-08-29,0.9732666811562704
510300.SH,2025-09-01,0.9733535528596189
510300.SH,2025-09-02,0.973202614379085
510300.SH,2025-09-03,0.9729610903495273
510300.SH,2025-09-04,0.9723967684021544
510300.SH,2025-09-05,0.9729907773386034
510300.SH,2025-09-08,0.9729967069154777
510300.SH,2025-09-09,0.9728356890459365
510300.SH,2025-09-10,0.9728955486998677
510300.SH,2025-09-11,0.9736051502145923
510300.SH,2025-09-12,0.9733823847652023
510300.SH,2025-09-15,0.9734283862605315
510300.SH,2025-09-16,0.9733766233766233
510300.SH,2025-09-17,0.9735654416505481
510300.SH,2025-09-18,0.9732259468872442
510300.SH,2025-09-19,0.9732841007819287
510300.SH,2025-09-22,0.973370859493397
510300.SH,2025-09-23,0.9733881436607529
510300.SH,2025-09-24,0.9736221316748873
510300.SH,2025-09-25,0.9738019169329073
510300.SH,2025-09-26,0.9735540743926037
510300.SH,2025-09-29,0.9739847715736042
510300.SH,2025-09-30,0.9740561063066865
510300.SH,2025-10-09,0.9744601328903654
510300.SH,2025-10-10,0.9739351557533376
510300.SH,2025-10-13,0.9737851662404091
510300.SH,2025-10-14,0.973519913885899
510300.SH,2025-10-15,0.9738631534211645
510300.SH,2025-10-16,0.9739461978394407
510300.SH,2025-10-17,0.9733996539792389
510300.SH,2025-10-20,0.973491379310345
510300.SH,2025-10-21,0.9738853503184713
510300.SH,2025-10-22,0.9738019169329073
510300.SH,2025-10-23,0.9739019732654359
510300.SH,2025-10-24,0.9742138364779875
510300.SH,2025-10-27,0.9745130542892666
510300.SH,2025-10-28,0.9743856726364016
510300.SH,2025-10-29,0.9747017688194158
510300.SH,2025-10-30,0.9744972009122952
510300.SH,2025-10-31,0.9741379310344828
510300.SH,2025-11-03,0.9741759395339071
510300.SH,2025-11-04,0.9739902727849439
510300.SH,2025-11-05,0.9740232312565997
510300.SH,2025-11-06,0.9744016649323622
510300.SH,2025-11-07,0.9743482794577685
510300.SH,2025-11-10,0.9744123153734138
510300.SH,2025-11-11,0.9741759395339071
510300.SH,2025-11-12,0.9741867785939141
510300.SH,2025-11-13,0.9744389027431422
510300.SH,2025-11-14,0.9740561063066865
510300.SH,2025-11-17,0.9738853503184713
510300.SH,2025-11-18,0.9737347853939782
510300.SH,2025-11-19,0.9738130721737278
510300.SH,2025-11-20,0.9736954662104362
510300.SH,2025-11-21,0.9730499561787905
510300.SH,2025-11-24,0.9730085582620145
510300.SH,2025-11-25,0.9732434196214922
510300.SH,2025-11-26,0.9734111543450065
510300.SH,2025-11-27,0.9733881436607529
510300.SH,2025-11-28,0.973462783171521
510300.SH,2025-12-01,0.9737572007680819
510300.SH,2025-12-02,0.9736390912987569
510300.SH,2025-12-03,0.973519913885899
510300.SH,2025-12-04,0.973588146875671
510300.SH,2025-12-05,0.9738186462324393
510300.SH,2025-12-08,0.9740067624683009
510300.SH,2025-12-09,0.973874256584537
510300.SH,2025-12-10,0.9738409187579753
510300.SH,2025-12-11,0.9736503856041131
510300.SH,2025-12-12,0.973796335747763
510300.SH,2025-12-15,0.9736447396614527
510300.SH,2025-12-16,0.9733766233766233
510300.SH,2025-12-17,0.9738242179187061
510300.SH,2025-12-18,0.9736503856041131
510300.SH,2025-12-19,0.9737627986348124
510300.SH,2025-12-22,0.9739957716701902
510300.SH,2025-12-23,0.9740506329113924
510300.SH,2025-12-24,0.9741433676686989
510300.SH,2025-12-25,0.9741921947125471
510300.SH,2025-12-26,0.9742892976588629
510300.SH,2025-12-29,0.9741759395339071
510300.SH,2025-12-30,0.974230043997486
510300.SH,2025-12-31,0.9741216074058489
510300.SH,2026-01-05,0.9746077621800164
510300.SH,2026-01-06,0.9749949176661924
510300.SH,2026-01-07,0.9749030810038767
510300.SH,2026-01-08,0.974706971005552
510300.SH,2026-01-09,0.97482088024565
510300.SH,2026-01-12,0.974964380215754
510300.SH,2026-01-13,0.9748774509803921
510300.SH,2026-01-14,0.9747225647348954
510300.SH,2026-01-15,0.9747692307692307
510300.SH,2026-01-16,0.9746861494134595
510300.SH,2026-01-19,1.0
510300.SH,2026-01-20,1.0
510300.SH,2026-01-21,1.0
510300.SH,2026-01-22,1.0
510300.SH,2026-01-23,1.0
510300.SH,2026-01-26,1.0
510300.SH,2026-01-27,1.0
510300.SH,2026-01-28,1.0
510300.SH,2026-01-29,1.0
510300.SH,2026-01-30,1.0
510300.SH,2026-02-02,1.0
510300.SH,2026-02-03,1.0
510300.SH,2026-02-04,1.0
510300.SH,2026-02-05,1.0
510300.SH,2026-02-06,1.0
510300.SH,2026-02-09,1.0
510300.SH,2026-02-10,1.0
510300.SH,2026-02-11,1.0
510300.SH,2026-02-12,1.0
510300.SH,2026-02-13,1.0
510300.SH,2026-02-24,1.0
510300.SH,2026-02-25,1.0
510300.SH,2026-02-26,1.0
510300.SH,2026-02-27,1.0
510300.SH,2026-03-02,1.0
510300.SH,2026-03-03,1.0
510300.SH,2026-03-04,1.0
510300.SH,2026-03-05,1.0
510300.SH,2026-03-06,1.0
510300.SH,2026-03-09,1.0
510300.SH,2026-03-10,1.0
510300.SH,2026-03-11,1.0
510300.SH,2026-03-12,1.0
510300.SH,2026-03-13,1.0
510300.SH,2026-03-16,1.0
510300.SH,2026-03-17,1.0
510300.SH,2026-03-18,1.0
510300.SH,2026-03-19,1.0
510300.SH,2026-03-20,1.0
510300.SH,2026-03-23,1.0
510300.SH,2026-03-24,1.0
510300.SH,2026-03-25,1.0
510300.SH,2026-03-26,1.0
510300.SH,2026-03-27,1.0
510300.SH,2026-03-30,1.0
510300.SH,2026-03-31,1.0
510300.SH,2026-04-01,1.0
510300.SH,2026-04-02,1.0
510300.SH,2026-04-03,1.0
510300.SH,2026-04-07,1.0
510300.SH,2026-04-08,1.0
510300.SH,2026-04-09,1.0
510300.SH,2026-04-10,1.0
510300.SH,2026-04-13,1.0
510300.SH,2026-04-14,1.0
510300.SH,2026-04-15,1.0
510300.SH,2026-04-16,1.0
510300.SH,2026-04-17,1.0
510300.SH,2026-04-20,1.0
510300.SH,2026-04-21,1.0
510300.SH,2026-04-22,1.0
510300.SH,2026-04-23,1.0
510300.SH,2026-04-24,1.0
510300.SH,2026-04-27,1.0
510300.SH,2026-04-28,1.0
510300.SH,2026-04-29,1.0
510300.SH,2026-04-30,1.0
510300.SH,2026-05-06,1.0
510300.SH,2026-05-07,1.0
510300.SH,2026-05-08,1.0
510300.SH,2026-05-11,1.0
510300.SH,2026-05-12,1.0
510300.SH,2026-05-13,1.0
510300.SH,2026-05-14,1.0
510300.SH,2026-05-15,1.0
510300.SH,2026-05-18,1.0
510300.SH,2026-05-19,1.0
510300.SH,2026-05-20,1.0
510300.SH,2026-05-21,1.0
510300.SH,2026-05-22,1.0
510300.SH,2026-05-25,1.0
510300.SH,2026-05-26,1.0
510300.SH,2026-05-27,1.0
510300.SH,2026-05-28,1.0
510300.SH,2026-05-29,1.0
510300.SH,2026-06-01,1.0
510300.SH,2026-06-02,1.0
510300.SH,2026-06-03,1.0
510300.SH,2026-06-04,1.0
510300.SH,2026-06-05,1.0
510300.SH,2026-06-08,1.0
510300.SH,2026-06-09,1.0
510300.SH,2026-06-10,1.0
510300.SH,2026-06-11,1.0
510300.SH,2026-06-12,1.0
510300.SH,2026-06-15,1.0
510300.SH,2026-06-16,1.0
510300.SH,2026-06-17,1.0
510300.SH,2026-06-18,1.0
510300.SH,2026-06-22,1.0
510300.SH,2026-06-23,1.0
510300.SH,2026-06-24,1.0
510300.SH,2026-06-25,1.0
510300.SH,2026-06-26,1.0
510300.SH,2026-06-29,1.0
510300.SH,2026-06-30,1.0
